[2023-06-14 16:49:08,087]-[DEBUG]-[connectionpool.py]-[Line:456]-[Msg:http://up-cn-east-2.qiniup.com:80 "POST / HTTP/1.1" 200 76]
[2023-06-14 16:49:08,198]-[DEBUG]-[good_add.py]-[Line:58]-[Msg:用户user创建商品男人信息成功]
[2023-06-14 16:49:08,277]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:08,309]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:08,403]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:08,434]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:08,578]-[DEBUG]-[good_delete.py]-[Line:26]-[Msg:用户user删除商品3020175206707765248成功]
[2023-06-14 16:49:08,640]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:08,671]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:08,752]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:08,768]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:09,450]-[DEBUG]-[connectionpool.py]-[Line:456]-[Msg:http://up-cn-east-2.qiniup.com:80 "POST / HTTP/1.1" 200 76]
[2023-06-14 16:49:09,945]-[DEBUG]-[connectionpool.py]-[Line:456]-[Msg:http://up-cn-east-2.qiniup.com:80 "POST / HTTP/1.1" 200 76]
[2023-06-14 16:49:10,071]-[DEBUG]-[good_update.py]-[Line:62]-[Msg:用户user修改商品1654432305042825216信息成功]
[2023-06-14 16:49:10,121]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:10,154]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:10,299]-[DEBUG]-[favorite_get.py]-[Line:30]-[Msg:用户user查询收藏的商品成功]
[2023-06-14 16:49:10,361]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:10,392]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:10,471]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:10,502]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:10,566]-[DEBUG]-[sell.py]-[Line:27]-[Msg:用户user获取出售商品成功]
[2023-06-14 16:49:10,629]-[DEBUG]-[auth.py]-[Line:25]-[Msg:用户id:1653305391263649792解析token成功]
[2023-06-14 16:49:10,660]-[DEBUG]-[auth.py]-[Line:44]-[Msg:用户user鉴权成功]
[2023-06-14 16:49:11,010]-[DEBUG]-[guess.py]-[Line:53]-[Msg:用户user获取猜你喜欢商品成功]
[2023-06-14 16:49:11,215]-[DEBUG]-[homepage.py]-[Line:27]-[Msg:获取首页商品成功]
[2023-06-14 16:49:11,394]-[DEBUG]-[search.py]-[Line:38]-[Msg:获取搜索商品成功]
